Surah number,character,decimal code
0,ﮌ,64396
1,ﮍ,64397
2,ﮎ,64398
3,ﮏ,64399
4,ﮐ,64400
5,ﮑ,64401
6,ﮒ,64402
7,ﮓ,64403
8,ﮔ,64404
9,ﮕ,64405
10,ﮖ,64406
11,ﮗ,64407
12,ﮘ,64408
13,ﮙ,64409
14,ﮚ,64410
15,ﮛ,64411
16,ﮜ,64412
17,ﮝ,64413
18,ﮞ,64414
19,ﮟ,64415
20,ﮠ,64416
21,ﮡ,64417
22,ﮢ,64418
23,ﮣ,64419
24,ﮤ,64420
25,ﮥ,64421
26,ﮦ,64422
27,ﮧ,64423
28,ﮨ,64424
29,ﮩ,64425
30,ﮪ,64426
31,ﮫ,64427
32,ﮬ,64428
33,ﮭ,64429
34,ﮮ,64430
35,ﮯ,64431
36,ﮰ,64432
37,ﮱ,64433
38,ﯓ,64467
39,ﯔ,64468
40,ﯕ,64469
41,ﯖ,64470
42,ﯗ,64471
43,ﯘ,64472
44,ﯙ,64473
45,ﯚ,64474
46,ﯛ,64475
47,ﯜ,64476
48,ﯝ,64477
49,ﯞ,64478
50,ﯟ,64479
51,ﯠ,64480
52,ﯡ,64481
53,ﯢ,64482
54,ﯣ,64483
55,ﯤ,64484
56,ﯥ,64485
57,ﯦ,64486
58,ﯧ,64487
59,ﯨ,64488
60,ﯩ,64489
61,ﯪ,64490
62,ﯫ,64491
63,ﯬ,64492
64,ﯭ,64493
65,ﯮ,64494
66,ﯯ,64495
67,ﯰ,64496
68,ﯱ,64497
69,ﯲ,64498
70,ﯳ,64499
71,ﯴ,64500
72,ﯵ,64501
73,ﯶ,64502
74,ﯷ,64503
75,ﯸ,64504
76,ﯹ,64505
77,ﯺ,64506
78,ﯻ,64507
79,ﯼ,64508
80,ﯽ,64509
81,ﯾ,64510
82,ﯿ,64511
83,ﰀ,64512
84,ﰁ,64513
85,ﰂ,64514
86,ﰃ,64515
87,ﰄ,64516
88,ﰅ,64517
89,ﰆ,64518
90,ﰇ,64519
91,ﰈ,64520
92,ﰉ,64521
93,ﰊ,64522
94,ﰋ,64523
95,ﰌ,64524
96,ﰍ,64525
97,ﰎ,64526
98,ﰏ,64527
99,ﰐ,64528
100,ﰑ,64529
101,ﰒ,64530
102,ﰓ,64531
103,ﰔ,64532
104,ﰕ,64533
105,ﰖ,64534
106,ﰗ,64535
107,ﰘ,64536
108,ﰙ,64537
109,ﰚ,64538
110,ﰛ,64539
111,ﰜ,64540
112,ﰝ,64541
113,ﰞ,64542
114,ﰟ,64543

